country_code,level1_en,level2_en,level3_en,level1_vi,level2_vi,level3_vi
VN,Quang Ngai,Duc Pho Town,Nguyen Nghiem Ward,Quảng Ngãi,Thị xã Đức Phổ,Phường Nguyễn Nghiêm
VN,Quang Ngai,Duc Pho Town,Pho An Ward,Quảng Ngãi,Thị xã Đức Phổ,Xã Phổ An
VN,Quang Ngai,Duc Pho Town,Pho Phong Ward,Quảng Ngãi,Thị xã Đức Phổ,Xã Phổ Phong
VN,Quang Ngai,Duc Pho Town,Pho Thuan Ward,Quảng Ngãi,Thị xã Đức Phổ,Xã Phổ Thuận
VN,Quang Ngai,Duc Pho Town,Pho Van Ward,Quảng Ngãi,Thị xã Đức Phổ,Phường Phổ Văn
VN,Quang Ngai,Duc Pho Town,Pho Quang Ward,Quảng Ngãi,Thị xã Đức Phổ,Phường Phổ Quang
VN,Quang Ngai,Duc Pho Town,Pho Nhon Ward,Quảng Ngãi,Thị xã Đức Phổ,Xã Phổ Nhơn
VN,Quang Ngai,Duc Pho Town,Pho Ninh Ward,Quảng Ngãi,Thị xã Đức Phổ,Phường Phổ Ninh
VN,Quang Ngai,Duc Pho Town,Pho Minh Ward,Quảng Ngãi,Thị xã Đức Phổ,Phường Phổ Minh
VN,Quang Ngai,Duc Pho Town,Pho Vinh Ward,Quảng Ngãi,Thị xã Đức Phổ,Phường Phổ Vinh
VN,Quang Ngai,Duc Pho Town,Pho Hoa Ward,Quảng Ngãi,Thị xã Đức Phổ,Phường Phổ Hòa
VN,Quang Ngai,Duc Pho Town,Pho Cuong Ward,Quảng Ngãi,Thị xã Đức Phổ,Xã Phổ Cường
VN,Quang Ngai,Duc Pho Town,Pho Khanh Ward,Quảng Ngãi,Thị xã Đức Phổ,Xã Phổ Khánh
VN,Quang Ngai,Duc Pho Town,Pho Thanh Ward,Quảng Ngãi,Thị xã Đức Phổ,Phường Phổ Thạnh
VN,Quang Ngai,Duc Pho Town,Pho Chau Ward,Quảng Ngãi,Thị xã Đức Phổ,Xã Phổ Châu
VN,Quang Ninh,Dong Trieu Town,Mao Khe Ward,Quảng Ninh,Thị xã Đông Triều,Phường Mạo Khê
VN,Quang Ninh,Dong Trieu Town,Dong Trieu Ward,Quảng Ninh,Thị xã Đông Triều,Phường Đông Triều
VN,Quang Ninh,Dong Trieu Town,An Sinh Ward,Quảng Ninh,Thị xã Đông Triều,Xã An Sinh
VN,Quang Ninh,Dong Trieu Town,Trang Luong Ward,Quảng Ninh,Thị xã Đông Triều,Xã Tràng Lương
VN,Quang Ninh,Dong Trieu Town,Binh Khe Ward,Quảng Ninh,Thị xã Đông Triều,Xã Bình Khê
VN,Quang Ninh,Dong Trieu Town,Viet Dan Ward,Quảng Ninh,Thị xã Đông Triều,Xã Việt Dân
VN,Quang Ninh,Dong Trieu Town,Tan Viet Ward,Quảng Ninh,Thị xã Đông Triều,Xã Tân Việt
VN,Quang Ninh,Dong Trieu Town,Binh Duong Ward,Quảng Ninh,Thị xã Đông Triều,Xã Bình Dương
VN,Quang Ninh,Dong Trieu Town,Duc Chinh Ward,Quảng Ninh,Thị xã Đông Triều,Phường Đức Chính
VN,Quang Ninh,Dong Trieu Town,Trang An Ward,Quảng Ninh,Thị xã Đông Triều,Phường Tràng An
VN,Quang Ninh,Dong Trieu Town,Nguyen Hue Ward,Quảng Ninh,Thị xã Đông Triều,Xã Nguyễn Huệ
VN,Quang Ninh,Dong Trieu Town,Thuy An Ward,Quảng Ninh,Thị xã Đông Triều,Xã Thủy An
VN,Quang Ninh,Dong Trieu Town,Xuan Son Ward,Quảng Ninh,Thị xã Đông Triều,Phường Xuân Sơn
VN,Quang Ninh,Dong Trieu Town,Hong Thai Tay Ward,Quảng Ninh,Thị xã Đông Triều,Xã Hồng Thái Tây
VN,Quang Ninh,Dong Trieu Town,Hong Thai Dong Ward,Quảng Ninh,Thị xã Đông Triều,Xã Hồng Thái Đông
VN,Quang Ninh,Dong Trieu Town,Hoang Que Ward,Quảng Ninh,Thị xã Đông Triều,Phường Hoàng Quế
VN,Quang Ninh,Dong Trieu Town,Yen Tho Ward,Quảng Ninh,Thị xã Đông Triều,Phường Yên Thọ
VN,Quang Ninh,Dong Trieu Town,Hong Phong Ward,Quảng Ninh,Thị xã Đông Triều,Phường Hồng Phong
VN,Quang Ninh,Dong Trieu Town,Kim Son Ward,Quảng Ninh,Thị xã Đông Triều,Phường Kim Sơn
VN,Quang Ninh,Dong Trieu Town,Hung Dao Ward,Quảng Ninh,Thị xã Đông Triều,Phường Hưng Đạo
VN,Quang Ninh,Dong Trieu Town,Yen Duc Ward,Quảng Ninh,Thị xã Đông Triều,Xã Yên Đức
VN,Phu Yen,Dong Hoa Town,Hoa Thanh Ward,Phú Yên,Thị xã Đông Hòa,Xã Hòa Thành
VN,Phu Yen,Dong Hoa Town,Hoa Hiep Bac Ward,Phú Yên,Thị xã Đông Hòa,Phường Hòa Hiệp Bắc
VN,Phu Yen,Dong Hoa Town,Hoa Vinh Ward,Phú Yên,Thị xã Đông Hòa,Phường Hòa Vinh
VN,Phu Yen,Dong Hoa Town,Hoa Hiep Trung Ward,Phú Yên,Thị xã Đông Hòa,Phường Hòa Hiệp Trung
VN,Phu Yen,Dong Hoa Town,Hoa Tan Dong Ward,Phú Yên,Thị xã Đông Hòa,Xã Hòa Tân Đông
VN,Phu Yen,Dong Hoa Town,Hoa Xuan Tay Ward,Phú Yên,Thị xã Đông Hòa,Phường Hòa Xuân Tây
VN,Phu Yen,Dong Hoa Town,Hoa Hiep Nam Ward,Phú Yên,Thị xã Đông Hòa,Phường Hòa Hiệp Nam
VN,Phu Yen,Dong Hoa Town,Hoa Xuan Dong Ward,Phú Yên,Thị xã Đông Hòa,Xã Hòa Xuân Đông
