key,name,city,country,coordinates_0,coordinates_1,province,timezone,unlocs_0,code,alias_0,alias_1,alias_2,unlocs_1
VNCLI,Cat Lai,Cát Lái,Viet Nam,106.78,10.77,Ho Chi Minh,Asia/Saigon,VNCLI,,,,,
VNCLN,Cai Lan,Cai Lan,Viet Nam,107.05,21.42,Quảng Ninh,Asia/Saigon,VNCLN,,,,,
VNDAD,Da Nang,Da Nang,Viet Nam,108.2021667,16.0544068,Da Nang,Asia/Saigon,VNDAD,55204,,,,
VNHPH,Haiphong,Haiphong,Viet Nam,106.6880841,20.8449115,Haiphong,Asia/Saigon,VNHPH,55201,,,,
VNNHA,Nha Trang,Nha Trang,Viet Nam,109.1967488,12.2387911,Khanh Hoa Province,Asia/Saigon,VNNHA,55208,,,,
VNPHG,Phuoc Long,Phuóc Long,Viet Nam,106.95,10.72,Bac Lieu,Asia/Saigon,VNPHG,,,,,
VNSGN,Ho Chi Minh City,Ho Chi Minh City,Viet Nam,106.67,10.77,Ho Chi Minh,Asia/Saigon,VNSGN,55224,,,,
VNSTD,Su Tu Den,Su Tu Den,Viet Nam,108.2614775,10.9804603,Bình Thuận,Asia/Saigon,VNSTD,,,,,
VNTOT,Cai Mep,Cai Mep,Viet Nam,107.1551514,10.5850216,Bà Rịa - Vũng Tàu,Asia/Saigon,VNTOT,,,,,
VNTTD,Tan Thuan Dong,Tân Thuan Dông,Viet Nam,106.72,10.73,Ho Chi Minh,Asia/Saigon,VNTTD,,,,,
VNUIH,Qui Nhon,Qui Nhon,Viet Nam,109.22,13.77,Bình Định,Asia/Saigon,VNUIH,,,,,
VNVIC,"Ho Chi Minh, VICT","Ho Chi Minh, VICT",Viet Nam,106.6721498,10.796011,Hồ Chí Minh,Asia/Saigon,VNVIC,55224,,,,
VNVUT,Vung Tau,Vung Tau,Viet Nam,107.07,10.35,Bà Rịa - Vung Tàu,Asia/Saigon,VNVUT,55206,,,,
